DEPT,SON_TGSAR,id,uwi
1403.5,64.97405397440698,5,42371365270000
1418.5,66.04390003627167,5,42371365270000
1433.5,72.30399230133231,5,42371365270000
1448.5,74.25795834321111,5,42371365270000
1463.5,74.18911462681271,5,42371365270000
1478.5,74.23474536981679,5,42371365270000
1493.5,74.603412519,5,42371365270000
1508.5,74.99521496700822,5,42371365270000
1523.5,74.28953506387273,5,42371365270000
1538.5,74.77995945722313,5,42371365270000
1553.5,74.29652289775451,5,42371365270000
1568.5,74.05976961031557,5,42371365270000
1583.5,73.50004337917359,5,42371365270000
1598.5,72.89382753488697,5,42371365270000
1613.5,72.79610766460014,5,42371365270000
1628.5,72.18595638652347,5,42371365270000
1643.5,74.80536943947082,5,42371365270000
1658.5,74.01775196971377,5,42371365270000
1673.5,73.69111864922805,5,42371365270000
1688.5,73.7336696786718,5,42371365270000
1703.5,73.48905621822921,5,42371365270000
1718.5,74.22555066646912,5,42371365270000
1733.5,73.76285486641382,5,42371365270000
1748.5,74.39863452320323,5,42371365270000
1763.5,74.45741773686576,5,42371365270000
1778.5,73.7846145756977,5,42371365270000
1793.5,72.36142326164048,5,42371365270000
1808.5,72.86773234866415,5,42371365270000
1823.5,73.89702483131224,5,42371365270000
1838.5,73.86326763182143,5,42371365270000
1853.5,74.5053274667308,5,42371365270000
1868.5,74.9736869800715,5,42371365270000
1883.5,76.31183847247316,5,42371365270000
1898.5,77.22809721226092,5,42371365270000
1913.5,76.98416959962597,5,42371365270000
1928.5,76.66306536827186,5,42371365270000
1943.5,76.08435499945838,5,42371365270000
1958.5,75.74754801521235,5,42371365270000
1973.5,77.2324715257761,5,42371365270000
1988.5,77.53569696187984,5,42371365270000
2003.5,77.68681541072765,5,42371365270000
2018.5,77.61846578282294,5,42371365270000
2033.5,77.44434653381578,5,42371365270000
2048.5,76.90379780674888,5,42371365270000
2063.5,77.31999477926554,5,42371365270000
2078.5,77.48236278647477,5,42371365270000
2093.5,77.74785913739251,5,42371365270000
2108.5,77.42102753870101,5,42371365270000
2123.5,76.44091595792602,5,42371365270000
2138.5,76.93793009232755,5,42371365270000
2153.5,76.60962277192948,5,42371365270000
2168.5,76.66763929341819,5,42371365270000
2183.5,77.37333413669575,5,42371365270000
2198.5,77.53507455524304,5,42371365270000
2213.5,77.26291951562676,5,42371365270000
2228.5,77.23794153188392,5,42371365270000
2243.5,76.71073133977984,5,42371365270000
2258.5,77.45985032540335,5,42371365270000
2273.5,77.39506996788536,5,42371365270000
2288.5,77.38623832932865,5,42371365270000
2303.5,77.093207355516,5,42371365270000
2318.5,77.6466277356085,5,42371365270000
2333.5,77.81487585324487,5,42371365270000
2348.5,77.0594776666037,5,42371365270000
2363.5,76.9901493470795,5,42371365270000
2378.5,75.94312283527348,5,42371365270000
2393.5,77.46179801453432,5,42371365270000
2408.5,77.56095517717473,5,42371365270000
2423.5,76.49096769833965,5,42371365270000
2438.5,75.82827653385681,5,42371365270000
2453.5,77.37069130790242,5,42371365270000
2468.5,77.30309693206884,5,42371365270000
2483.5,77.03529190607375,5,42371365270000
2498.5,76.0936671761105,5,42371365270000
2513.5,77.03342025429569,5,42371365270000
2528.5,76.98022567307375,5,42371365270000
2543.5,76.2177182538219,5,42371365270000
2558.5,75.97675945555388,5,42371365270000
2573.5,75.70627484873488,5,42371365270000
2588.5,75.44769493487172,5,42371365270000
2603.5,76.48902337354812,5,42371365270000
2618.5,76.5474221691235,5,42371365270000
2633.5,76.31101817410212,5,42371365270000
2648.5,75.45827602858866,5,42371365270000
2663.5,75.73835754240947,5,42371365270000
